"NAME","VALUE","ISDEFAULT"
"awr_pdb_autoflush_enabled","TRUE","TRUE"
"db_block_size","8192","FALSE"
"db_cache_size","1073741824","TRUE"
"large_pool_size","0","TRUE"
"memory_max_target","4294967296","FALSE"
"memory_target","3221225472","FALSE"
"open_cursors","300","FALSE"
"optimizer_mode","ALL_ROWS","TRUE"
"pga_aggregate_target","0","FALSE"
"processes","300","FALSE"
"sessions","472","TRUE"
"sga_max_size","4294967296","TRUE"
"sga_target","0","FALSE"
"shared_pool_size","0","TRUE"
"undo_retention","900","TRUE"
"undo_tablespace","UNDOTBS1","FALSE"
