"OWNER","TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","STATUS","VALIDATED"
"HAL","ARTICLE_ABSTRACTS","FK_ABS_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_ABSTRACTS","SYS_C007816","C","ENABLED","VALIDATED"
"HAL","ARTICLE_AUTHORS","FK_AUTH_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_AUTHORS","SYS_C007812","C","ENABLED","VALIDATED"
"HAL","ARTICLE_COLLECTIONS","FK_COLL_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_COLLECTIONS","SYS_C007814","C","ENABLED","VALIDATED"
"HAL","ARTICLE_DOMAINS_CODE","FK_DOM_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_DOMAINS_CODE","SYS_C007820","C","ENABLED","VALIDATED"
"HAL","ARTICLE_DOMAINS_EN","FK_DOMEN_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_DOMAINS_EN","SYS_C007822","C","ENABLED","VALIDATED"
"HAL","ARTICLE_DOMAINS_FR","FK_DOMFR_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_DOMAINS_FR","SYS_C007824","C","ENABLED","VALIDATED"
"HAL","ARTICLE_KEYWORDS","FK_KEY_DOC","R","ENABLED","VALIDATED"
"HAL","ARTICLE_KEYWORDS","SYS_C007818","C","ENABLED","VALIDATED"
"HAL","BIN$Tl3WrCpSLXLgY1krDAo1lA==$0","BIN$Tl3WrCpRLXLgY1krDAo1lA==$0","C","ENABLED","VALIDATED"
"HAL","BIN$Tl3WrCpXLXLgY1krDAo1lA==$0","BIN$Tl3WrCpVLXLgY1krDAo1lA==$0","P","ENABLED","VALIDATED"
"HAL","BIN$Tlqw+2+LF8ngY1krDAqcsQ==$0","BIN$Tlqw+2+JF8ngY1krDAqcsQ==$0","P","ENABLED","VALIDATED"
"HAL","RESEARCH_ARTICLES","SYS_C007811","P","ENABLED","VALIDATED"
