"EVENT","WAIT_CLASS","TOTAL_WAITS","TIME_WAITED_SEC"
"free buffer waits","Configuration",398332,4109,85
"direct path write temp","User I/O",176591,2524,73
"local write wait","User I/O",101788,1255,1
"control file parallel write","System I/O",142213,1080,47
"direct path write","User I/O",151702,807,15
"Data file init write","User I/O",43140,734,11
"write complete waits","Configuration",95,660,31
"direct path sync","User I/O",2586,482,01
"external table read","User I/O",7996,354,76
"DLM cross inst call completion","Other",20877,332,73
"direct path read","User I/O",36897065,261,38
"db file single write","User I/O",20867,208,02
"log file switch (checkpoint incomplete)","Configuration",12,205,15
"db file sequential read","User I/O",717616,181,53
"Disk file operations I/O","User I/O",102501,173,95
"log buffer space","Configuration",1605,114,78
"enq: CR - block range reuse ckpt","Other",4872,107,65
"resmgr:cpu quantum","Scheduler",2389,99,24
"enq: RO - fast object reuse","Application",706,65,42
"direct path read temp","User I/O",202254,35,47
"log file switch (private strand flush incomplete)","Configuration",37,30,29
"db file scattered read","User I/O",26299,27,33
"cursor: pin S wait on X","Concurrency",580,26,59
"buffer busy waits","Concurrency",276,20,29
"undo segment extension","Configuration",179,20,14
"latch: shared pool","Concurrency",5556,13,28
"SQL*Net break/reset to client","Application",1058,11,69
"PX Deq: Join ACK","Other",2920,7,19
"enq: KO - fast object checkpoint","Application",229,7,03
"log file sync","Commit",502,5,24
