"SNAP_ID","DBID","INSTANCE_NUMBER","BEGIN_INTERVAL_TIME","END_INTERVAL_TIME"
536,1740395783,1,26-04-06 13:00:21,888000000,26-04-06 14:00:27,660000000
535,1740395783,1,26-04-06 12:00:14,979000000,26-04-06 13:00:21,888000000
534,1740395783,1,26-04-06 11:00:09,517000000,26-04-06 12:00:14,979000000
533,1740395783,1,26-04-06 10:00:04,575000000,26-04-06 11:00:09,517000000
532,1740395783,1,26-04-06 09:00:59,714000000,26-04-06 10:00:04,575000000
531,1740395783,1,26-04-06 08:00:54,317000000,26-04-06 09:00:59,714000000
530,1740395783,1,26-04-06 07:00:48,951000000,26-04-06 08:00:54,317000000
529,1740395783,1,26-04-06 06:00:42,425000000,26-04-06 07:00:48,951000000
528,1740395783,1,26-04-06 05:00:37,361000000,26-04-06 06:00:42,425000000
527,1740395783,1,26-04-06 04:00:32,335000000,26-04-06 05:00:37,361000000
526,1740395783,1,26-04-06 03:00:27,280000000,26-04-06 04:00:32,335000000
525,1740395783,1,26-04-06 02:00:22,117000000,26-04-06 03:00:27,280000000
524,1740395783,1,26-04-06 01:00:15,920000000,26-04-06 02:00:22,117000000
523,1740395783,1,26-04-06 00:00:10,665000000,26-04-06 01:00:15,920000000
522,1740395783,1,26-04-05 23:00:05,088000000,26-04-06 00:00:10,665000000
521,1740395783,1,26-04-05 22:00:59,924000000,26-04-05 23:00:05,088000000
520,1740395783,1,26-04-05 21:00:53,542000000,26-04-05 22:00:59,924000000
519,1740395783,1,26-04-05 20:00:46,597000000,26-04-05 21:00:53,542000000
518,1740395783,1,26-04-05 19:00:41,200000000,26-04-05 20:00:46,597000000
517,1740395783,1,26-04-05 18:00:36,164000000,26-04-05 19:00:41,200000000
516,1740395783,1,26-04-05 17:00:30,714000000,26-04-05 18:00:36,164000000
515,1740395783,1,26-04-05 16:00:25,275000000,26-04-05 17:00:30,714000000
514,1740395783,1,26-04-05 15:00:20,293000000,26-04-05 16:00:25,275000000
513,1740395783,1,26-04-05 14:00:14,926000000,26-04-05 15:00:20,293000000
512,1740395783,1,26-04-05 13:00:08,963000000,26-04-05 14:00:14,926000000
511,1740395783,1,26-04-05 12:00:03,918000000,26-04-05 13:00:08,963000000
510,1740395783,1,26-04-05 11:00:59,254000000,26-04-05 12:00:03,918000000
509,1740395783,1,26-04-05 10:00:53,887000000,26-04-05 11:00:59,254000000
508,1740395783,1,26-04-05 09:00:47,419000000,26-04-05 10:00:53,887000000
507,1740395783,1,26-04-05 08:00:41,977000000,26-04-05 09:00:47,419000000
